"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9300,"Phi@Atl 07:10PM ET",21.293,"Atl"
"WR","Odell Beckham Jr.",9200,"NYG@Dal 08:30PM ET",26.417,"NYG"
"WR","Demaryius Thomas",9100,"Bal@Den 04:25PM ET",22.812,"Den"
"WR","Dez Bryant",8700,"NYG@Dal 08:30PM ET",19.033,"Dal"
"QB","Aaron Rodgers",8600,"GB@Chi 01:00PM ET",23.428,"GB"
"WR","Calvin Johnson",8500,"Det@SD 04:05PM ET",18.229,"Det"
"WR","Jordy Nelson",8400,"GB@Chi 01:00PM ET",20.289,"GB"
"QB","Andrew Luck",8300,"Ind@Buf 01:00PM ET",23.743,"Ind"
"WR","Alshon Jeffery",8300,"GB@Chi 01:00PM ET",16.913,"Chi"
"QB","Peyton Manning",8200,"Bal@Den 04:25PM ET",21.301,"Den"
"QB","Drew Brees",8000,"NO@Ari 04:05PM ET",21.749,"NO"
"WR","Randall Cobb",8000,"GB@Chi 01:00PM ET",19.594,"GB"
"RB","Jamaal Charles",7900,"KC@Hou 01:00PM ET",17.093,"KC"
"WR","Emmanuel Sanders",7900,"Bal@Den 04:25PM ET",19.671,"Den"
"RB","Matt Forte",7800,"GB@Chi 01:00PM ET",22.538,"Chi"
"QB","Russell Wilson",7800,"Sea@StL 01:00PM ET",21.910,"Sea"
"WR","A.J. Green",7800,"Cin@Oak 04:25PM ET",17.100,"Cin"
"RB","Adrian Peterson",7700,"Min@SF 10:20PM ET",11.300,"Min"
"WR","Mike Evans",7700,"Ten@TB 04:25PM ET",16.940,"TB"
"RB","Arian Foster",7600,"KC@Hou 01:00PM ET",22.808,"Hou"
"QB","Cam Newton",7600,"Car@Jax 01:00PM ET",19.246,"Car"
"WR","T.Y. Hilton",7600,"Ind@Buf 01:00PM ET",17.372,"Ind"
"QB","Matt Ryan",7500,"Phi@Atl 07:10PM ET",19.891,"Atl"
"RB","Eddie Lacy",7500,"GB@Chi 01:00PM ET",17.167,"GB"
"QB","Eli Manning",7400,"NYG@Dal 08:30PM ET",18.906,"NYG"
"QB","Ryan Tannehill",7400,"Mia@Was 01:00PM ET",18.719,"Mia"
"WR","DeAndre Hopkins",7400,"KC@Hou 01:00PM ET",15.250,"Hou"
"QB","Tony Romo",7300,"NYG@Dal 08:30PM ET",18.656,"Dal"
"RB","Marshawn Lynch",7300,"Sea@StL 01:00PM ET",19.839,"Sea"
"WR","Kelvin Benjamin",7300,"Car@Jax 01:00PM ET",14.978,"Car"
"RB","LeSean McCoy",7200,"Ind@Buf 01:00PM ET",13.400,"Buf"
"WR","Jordan Matthews",7200,"Phi@Atl 07:10PM ET",13.200,"Phi"
"QB","Philip Rivers",7100,"Det@SD 04:05PM ET",18.603,"SD"
"WR","Keenan Allen",7100,"Det@SD 04:05PM ET",13.307,"SD"
"WR","Brandin Cooks",7100,"NO@Ari 04:05PM ET",13.930,"NO"
"RB","Jeremy Hill",7100,"Cin@Oak 04:25PM ET",14.035,"Cin"
"QB","Matthew Stafford",7000,"Det@SD 04:05PM ET",17.435,"Det"
"QB","Colin Kaepernick",7000,"Min@SF 10:20PM ET",16.979,"SF"
"WR","Sammy Watkins",7000,"Ind@Buf 01:00PM ET",13.188,"Buf"
"RB","C.J. Anderson",7000,"Bal@Den 04:25PM ET",14.638,"Den"
"QB","Sam Bradford",6900,"Phi@Atl 07:10PM ET",0,"Phi"
"WR","Jeremy Maclin",6900,"KC@Hou 01:00PM ET",18.050,"KC"
"QB","Jay Cutler",6800,"GB@Chi 01:00PM ET",19.439,"Chi"
"WR","DeSean Jackson",6800,"Mia@Was 01:00PM ET",15.173,"Was"
"QB","Joe Flacco",6700,"Bal@Den 04:25PM ET",18.571,"Bal"
"RB","DeMarco Murray",6700,"Phi@Atl 07:10PM ET",24.033,"Phi"
"WR","Amari Cooper",6700,"Cin@Oak 04:25PM ET",0,"Oak"
"WR","Brandon Marshall",6600,"Cle@NYJ 01:00PM ET",14.315,"NYJ"
"QB","Teddy Bridgewater",6600,"Min@SF 10:20PM ET",15.435,"Min"
"WR","Roddy White",6500,"Phi@Atl 07:10PM ET",15.650,"Atl"
"QB","Carson Palmer",6500,"NO@Ari 04:05PM ET",18.923,"Ari"
"WR","Steve Smith Sr.",6400,"Bal@Den 04:25PM ET",14.667,"Bal"
"QB","Robert Griffin III",6400,"Mia@Was 01:00PM ET",11.151,"Was"
"RB","Andre Ellington",6400,"NO@Ari 04:05PM ET",15.208,"Ari"
"WR","Golden Tate",6300,"Det@SD 04:05PM ET",17.353,"Det"
"QB","Geno Smith",6300,"Cle@NYJ 01:00PM ET",12.343,"NYJ"
"WR","Anquan Boldin",6200,"Min@SF 10:20PM ET",13.913,"SF"
"QB","Alex Smith",6200,"KC@Hou 01:00PM ET",15.333,"KC"
"RB","Justin Forsett",6200,"Bal@Den 04:25PM ET",16.233,"Bal"
"WR","Andre Johnson",6100,"Ind@Buf 01:00PM ET",13.107,"Ind"
"QB","Andy Dalton",6100,"Cin@Oak 04:25PM ET",15.425,"Cin"
"QB","Derek Carr",6100,"Cin@Oak 04:25PM ET",13.188,"Oak"
"WR","Marques Colston",6000,"NO@Ari 04:05PM ET",11.513,"NO"
"WR","Vincent Jackson",6000,"Ten@TB 04:25PM ET",11.888,"TB"
"WR","Eric Decker",6000,"Cle@NYJ 01:00PM ET",13.747,"NYJ"
"WR","Mike Wallace",6000,"Min@SF 10:20PM ET",13.550,"Min"
"QB","Marcus Mariota",6000,"Ten@TB 04:25PM ET",0,"Ten"
"QB","Jameis Winston",6000,"Ten@TB 04:25PM ET",0,"TB"
"WR","Torrey Smith",5900,"Min@SF 10:20PM ET",11.761,"SF"
"RB","Joseph Randle",5900,"NYG@Dal 08:30PM ET",3.228,"Dal"
"QB","Blake Bortles",5900,"Car@Jax 01:00PM ET",13.516,"Jax"
"QB","Matt Cassel",5800,"Ind@Buf 01:00PM ET",8.933,"Buf"
"RB","Jonathan Stewart",5800,"Car@Jax 01:00PM ET",12.227,"Car"
"WR","Michael Floyd",5800,"NO@Ari 04:05PM ET",10.300,"Ari"
"RB","Latavius Murray",5700,"Cin@Oak 04:25PM ET",5.913,"Oak"
"WR","Nelson Agholor",5700,"Phi@Atl 07:10PM ET",0,"Phi"
